,row,column,Dose,cell_no,GFP_in_cytoplasm,GFP_in_nucleus,GFP_nuc_to_cyto_ratio
0,A,1,0.0,1,52.957273918741805,60.00402144772118,1.1330647710414998
1,A,1,0.0,2,49.34903121636168,60.61893203883495,1.228371267777527
2,A,1,0.0,3,45.543191800878475,66.0,1.449173792837395
3,A,1,0.0,4,38.94877360538311,36.87842465753425,0.946844309686744
4,A,1,0.0,5,31.812428078250864,31.927272727272726,1.003610056068005
5,A,1,0.0,6,41.662565445026175,39.3822629969419,0.9452673539488791
6,A,1,0.0,7,31.38888888888889,0.0,0.0
7,A,1,0.0,8,30.595833333333335,30.625,1.0009532888465205
8,A,1,0.0,9,40.67639902676399,35.075630252100844,0.8623091298967249
9,A,1,0.0,10,44.38213176699465,49.675154989667355,1.1192602295550151
10,A,1,0.0,11,28.61085972850679,0.0,0.0
11,A,1,0.0,12,25.75,0.0,0.0
12,A,1,0.0,13,36.42175572519084,0.0,0.0
13,A,1,0.0,14,39.05223880597015,0.0,0.0
14,A,1,0.0,15,32.71875,0.0,0.0
15,A,1,0.0,16,33.34411764705882,0.0,0.0
16,A,1,0.0,17,50.14599372683205,53.99336984721822,1.0767234994154182
17,A,1,0.0,18,43.474734042553195,37.88211382113821,0.871359299957053
18,A,1,0.0,19,48.52603036876356,55.330827067669176,1.1402298240180366
19,A,1,0.0,20,34.18,0.0,0.0
20,A,1,0.0,21,30.929919137466307,31.16,1.007438779956427
21,A,1,0.0,22,36.63871543264942,36.246428571428574,0.989293105487228
22,A,1,0.0,23,35.76266666666667,36.44897959183673,1.0191907648153586
23,A,1,0.0,24,32.646864686468646,0.0,0.0
24,A,1,0.0,25,36.054662379421224,0.0,0.0
25,A,1,0.0,26,33.80149812734082,0.0,0.0
26,A,1,0.0,27,42.939978173881414,41.958333333333336,0.977139139741222
27,A,1,0.0,28,25.5625,0.0,0.0
28,A,1,0.0,29,25.88235294117647,0.0,0.0
29,A,1,0.0,30,25.125,0.0,0.0
30,A,1,0.0,31,34.9936694021102,35.52086811352254,1.0150655452949027
31,A,1,0.0,32,33.0979020979021,36.333333333333336,1.0977533629128813
32,A,1,0.0,33,27.338403041825096,0.0,0.0
33,A,1,0.0,34,27.533333333333335,0.0,0.0
34,A,1,0.0,35,32.16969696969697,0.0,0.0
35,A,1,0.0,36,26.993006993006993,0.0,0.0
36,A,1,0.0,37,33.74881516587678,30.954545454545453,0.9172039167124126
37,A,1,0.0,38,35.358938547486034,0.0,0.0
38,A,1,0.0,39,33.08457711442786,0.0,0.0
39,A,1,0.0,40,40.66097838452787,0.0,0.0
40,A,2,0.0,1,45.22438611346317,53.33157894736842,1.179265956503316
41,A,2,0.0,2,49.31346601736185,47.75431259801359,0.9683828060514075
42,A,2,0.0,3,55.66789215686274,39.361370716510905,0.7070749258045768
43,A,2,0.0,4,31.15,0.0,0.0
44,A,2,0.0,5,48.73593964334705,48.31454005934718,0.991353412141354
45,A,2,0.0,6,31.721052631578946,0.0,0.0
46,A,2,0.0,7,43.92532714225412,40.358634953464325,0.9188010102408821
47,A,2,0.0,8,39.62513426423201,32.303030303030305,0.8152156681066172
48,A,2,0.0,9,46.10427724008742,41.102473498233216,0.8915110692266712
49,A,2,0.0,10,35.295918367346935,0.0,0.0
50,A,2,0.0,11,34.03778337531486,0.0,0.0
51,A,2,0.0,12,61.87119611158073,56.28760683760684,0.9097546253364126
52,A,2,0.0,13,41.903225806451616,0.0,0.0
53,A,2,0.0,14,40.18166383701188,37.688741721854306,0.93795871357469
54,A,2,0.0,15,35.89171974522293,0.0,0.0
55,A,2,0.0,16,63.39514348785872,63.833898305084745,1.0069209531375232
56,A,2,0.0,17,55.091182364729455,54.791304347826085,0.9945566966612182
57,A,2,0.0,18,44.723514211886304,38.63414634146341,0.8638441549657003
58,A,2,0.0,19,58.457186544342505,49.037974683544306,0.838869907746017
59,A,2,0.0,20,43.54126213592233,40.15862068965517,0.9223118191726367
60,A,2,0.0,21,61.62691131498471,42.02597402597402,0.6819419167573196
61,A,2,0.0,22,29.802083333333332,0.0,0.0
62,A,2,0.0,23,41.26105717367853,0.0,0.0
63,A,2,0.0,24,47.728995057660626,55.41900647948164,1.161118234576924
64,A,2,0.0,25,61.86380189366351,39.66949152542373,0.6412391464981549
65,A,2,0.0,26,38.37373737373738,0.0,0.0
66,A,2,0.0,27,41.3955223880597,36.3582554517134,0.8783137246312592
67,A,2,0.0,28,46.66692851531815,43.560344827586206,0.9334307230716454
68,A,2,0.0,29,40.626106194690266,40.57575757575758,0.998760683125983
69,A,2,0.0,30,33.613861386138616,0.0,0.0
70,A,2,0.0,31,36.691017964071854,33.71951219512195,0.9190127193565568
71,A,2,0.0,32,53.14127477652546,54.30782761653474,1.0219519167523732
72,A,2,0.0,33,57.445369753497665,58.192583732057415,1.013007383915642
73,A,2,0.0,34,43.94082840236686,0.0,0.0
74,A,2,0.0,35,50.72350674373796,41.36279069767442,0.8154560548552933
75,A,2,0.0,36,50.46413819001126,52.41011235955056,1.0385615258545022
76,A,2,0.0,37,45.76553341148886,38.91063829787234,0.850217082537146
77,A,2,0.0,38,34.11678832116788,0.0,0.0
78,A,2,0.0,39,34.693251533742334,0.0,0.0
79,A,2,0.0,40,43.573488865323434,39.004615384615384,0.8951455667268351
80,A,2,0.0,41,38.13088512241055,42.02389078498293,1.1020958640239997
81,A,2,0.0,42,40.63555787278415,32.70454545454545,0.8048258019966664
82,A,2,0.0,43,54.99730904574622,57.928358208955224,1.0532944104732649
83,A,2,0.0,44,30.647058823529413,0.0,0.0
84,A,2,0.0,45,26.5875,0.0,0.0
85,A,2,0.0,46,32.972972972972975,0.0,0.0
86,A,2,0.0,47,34.05338078291815,0.0,0.0
87,A,2,0.0,48,33.590643274853804,36.734177215189874,1.0935836183491414
88,A,2,0.0,49,56.53902953586498,47.11251980982567,0.8332742920523655
89,A,2,0.0,50,26.441176470588236,0.0,0.0
90,A,2,0.0,51,57.53294573643411,50.24757281553398,0.8733704171123904
91,A,2,0.0,52,30.742382271468145,28.764705882352942,0.9356693839907562
92,A,2,0.0,53,35.535714285714285,47.4,1.3338693467336684
93,A,3,0.98,1,66.49050531058899,90.34110429447853,1.3587068390062482
94,A,3,0.98,2,47.61024599413225,70.56857638888889,1.482214067904336
95,A,3,0.98,3,45.889166250624065,47.96078431372549,1.045143946433615
96,A,3,0.98,4,51.954627949183305,47.20103092783505,0.9085048395304123
97,A,3,0.98,5,28.806451612903224,0.0,0.0
98,A,3,0.98,6,48.86495888678052,56.59639639639639,1.158220485307877
99,A,3,0.98,7,45.19607843137255,51.32004310344828,1.1354976999027602
100,A,3,0.98,8,46.00968523002421,68.01041666666667,1.4781760911132162
101,A,3,0.98,9,41.46769230769231,47.80602006688963,1.1528497827216093
102,A,3,0.98,10,44.49177631578947,52.46818181818182,1.1792781984198197
103,A,3,0.98,11,43.49636803874092,0.0,0.0
104,A,3,0.98,12,50.36578581363004,78.96929824561404,1.567915539684547
105,A,3,0.98,13,58.50271739130435,101.61111111111111,1.736861391095215
106,A,3,0.98,14,52.55445175710915,59.974148345010875,1.141181124335448
107,A,3,0.98,15,37.542328042328045,0.0,0.0
108,A,3,0.98,16,55.25918367346939,0.0,0.0
109,A,3,0.98,17,57.92094017094017,85.03271028037383,1.468082355524955
110,A,3,0.98,18,48.94507235660716,48.58854718981972,0.9927158108136025
111,A,3,0.98,19,29.479591836734695,29.0,0.9837313949463482
112,A,3,0.98,20,48.48251748251748,61.61087866108787,1.270785467840122
113,A,3,0.98,21,33.92727272727273,43.0,1.2674169346195068
114,A,3,0.98,22,51.59730941704036,70.69718309859155,1.3701718926305746
115,A,3,0.98,23,36.375,0.0,0.0
116,A,3,0.98,24,30.527272727272727,0.0,0.0
117,A,3,0.98,25,37.59139784946237,0.0,0.0
118,A,3,0.98,26,48.97546012269939,0.0,0.0
119,A,3,0.98,27,54.85429141716567,85.73431734317343,1.5629464008780252
120,A,3,0.98,28,36.79090909090909,0.0,0.0
121,A,3,0.98,29,35.38167938931298,0.0,0.0
122,A,3,0.98,30,39.05018664454583,56.92739273927393,1.4578007848580927
123,A,3,0.98,31,53.177793394237526,38.00754716981132,0.7147259174151801
124,A,3,0.98,32,41.17739353186039,53.641123882503194,1.3026838097705038
125,A,3,0.98,33,57.87712665406427,45.64159292035398,0.7885946583553991
126,A,3,0.98,34,39.773234200743495,0.0,0.0
127,A,3,0.98,35,40.42665388302972,43.58471074380165,1.0781181858362414
128,A,3,0.98,36,31.338501291989665,0.0,0.0
129,A,3,0.98,37,32.81578947368421,0.0,0.0
130,A,3,0.98,38,50.76100628930818,0.0,0.0
131,A,3,0.98,39,58.60707635009311,49.78228782287823,0.8494245221430354
132,A,3,0.98,40,60.80821917808219,0.0,0.0
133,A,3,0.98,41,54.05703422053232,64.52,1.1935541956812266
134,A,3,0.98,42,54.56197074672825,51.6858407079646,0.9472869106558781
135,A,3,0.98,43,42.79211980745231,41.28848821081831,0.9648619511396082
136,A,3,0.98,44,58.475935828877006,49.38107098381071,0.8444682463623779
137,A,3,0.98,45,37.80115273775216,38.36746987951807,1.0149814780965747
138,A,3,0.98,46,50.7625,52.427696078431374,1.0328036656672026
139,A,3,0.98,47,48.58700882117081,0.0,0.0
140,A,3,0.98,48,78.49576510446076,74.80361757105943,0.9529637359609415
141,A,3,0.98,49,55.5045045045045,0.0,0.0
142,A,4,1.95,1,31.273504273504273,28.235294117647058,0.9028503448386733
143,A,4,1.95,2,54.446047373038304,60.063267813267814,1.1031703991612651
144,A,4,1.95,3,57.36249179790026,48.396778523489935,0.8437007704268085
145,A,4,1.95,4,55.340425531914896,0.0,0.0
146,A,4,1.95,5,68.75611368142762,55.49025069637883,0.8070591504558501
147,A,4,1.95,6,60.92152848857045,53.27995642701525,0.8745669675213608
148,A,4,1.95,7,53.12299465240642,32.302564102564105,0.6080712187617765
149,A,4,1.95,8,45.1063829787234,63.666666666666664,1.4114779874213836
150,A,4,1.95,9,31.88535031847134,0.0,0.0
151,A,4,1.95,10,55.366279069767444,52.171151776103336,0.9422910958195709
152,A,4,1.95,11,48.117333333333335,0.0,0.0
153,A,4,1.95,12,35.101694915254235,0.0,0.0
154,A,4,1.95,13,29.689922480620154,0.0,0.0
155,A,4,1.95,14,53.02679830747532,46.53333333333333,0.8775437103237933
156,A,4,1.95,15,56.679029559397655,47.8531746031746,0.8442835908654035
157,A,4,1.95,16,38.45433962264151,40.22082018927445,1.0459370927694427
158,A,4,1.95,17,29.652173913043477,0.0,0.0
159,A,4,1.95,18,30.348837209302324,0.0,0.0
160,A,4,1.95,19,68.1461693548387,66.86666666666666,0.9812241436270667
161,A,4,1.95,20,38.82975871313673,45.282843894899536,1.166189165104949
162,A,4,1.95,21,37.94478527607362,31.2,0.8222473726758287
163,A,4,1.95,22,52.843511450381676,62.37984496124031,1.180463660516068
164,A,4,1.95,23,37.61197604790419,33.45454545454545,0.889465244047171
165,A,4,1.95,24,70.88759424263193,59.41509433962264,0.8381592713706496
166,A,4,1.95,25,56.756629741524,34.88165680473373,0.6145829476413358
167,A,4,1.95,26,60.15755796446853,48.29966076140219,0.8028859946397742
168,A,4,1.95,27,62.27230549607423,66.82567726737338,1.0731203339112954
169,A,4,1.95,28,71.80833657966498,67.97650130548303,0.9466380164658058
170,A,4,1.95,29,53.37158469945355,36.42045454545455,0.6823941007287992
171,A,4,1.95,30,67.98996990972918,49.87795275590551,0.7336075133159915
172,A,4,1.95,31,43.417647058823526,46.71052631578947,1.075841955518793
173,A,4,1.95,32,57.69717514124294,38.86538461538461,0.6736098348011317
174,A,4,1.95,33,62.01853759011328,46.2192118226601,0.7452483341049977
175,A,4,1.95,34,27.31111111111111,0.0,0.0
176,A,4,1.95,35,39.52590673575129,34.76744186046512,0.8796114936186366
177,A,4,1.95,36,92.6067415730337,0.0,0.0
178,A,4,1.95,37,50.65072765072765,39.78181818181818,0.785414544409742
179,A,4,1.95,38,60.56551724137931,70.25225225225225,1.1599381207670891
180,A,4,1.95,39,37.510284810126585,25.0,0.6664838757302849
181,A,4,1.95,40,83.84655172413792,153.46478873239437,1.8303053086465164
